# SPT ID	RA	DEC	S/N (95 GHz)	S_raw (95 GHz) [mJy]	S_best (95 GHz) [mJy]	dS_up (95 GHz) [mJy]	dS_down (95 GHz) [mJy]	S/N (150 GHz)	S_raw (150 GHz) [mJy]	S_best (150 GHz) [mJy]	dS_up (150 GHz) [mJy]	dS_down (150 GHz) [mJy]	S/N (220 GHz)	S_raw (220 GHz) [mJy]	S_best (220 GHz) [mJy]	dS_up (220 GHz) [mJy]	dS_down (220 GHz) [mJy]	alpha(95,150)_raw	alpha(95,150)_best	d_alpha(95,150)_up	d_alpha(95,150)_down	alpha(150,220)_raw	alpha(150,220)_best	d_alpha(150,220)_up	d_alpha(150,220)_down	P[alpha(150,220)>1.51]	Type	External catalogs	Extended	Redshift	Cut selection
SPT-SJ023116-4214.8	37.817814	-42.247261	1.3446100	2.8615700	1.81182	3.70991	0.603939	2.7500500	3.4678500	3.53736	4.74523	2.15692	5.0727400	23.007200	13.5455	20.2751	1.81182	0.40323000	1.44000	3.64000	-0.400000	5.2101500	3.72000	4.64000	-0.520000	0.753202	dust	none	no	none	1,2,3
SPT-SJ023116-5840.9	37.818329	-58.683006	46.053100	89.090200	89.2016	91.8743	85.8607	51.889300	59.171400	59.1336	61.1381	57.1291	10.198800	39.796600	39.0883	43.7656	35.0793	-0.85867500	-0.920000	-0.800000	-1.00000	-1.0921500	-1.16000	-0.840000	-1.48000	1.32598e-23	sync	1,3,5,8	no	none	1,2
SPT-SJ023120-4946.1	37.834534	-49.769260	0.0000000	-0.10203700	0.935817	1.99810	0.328801	4.7670500	5.8758600	3.92032	5.74137	0.682894	1.6387700	6.7446300	3.76856	7.25891	1.18874	32.705900	2.92000	4.36000	0.880000	0.37967400	0.560000	2.72000	-1.60000	0.381024	sync	none	no	none	1,2
SPT-SJ023131-5618.9	37.882328	-56.316544	0.0000000	-3.0403800	0.876943	1.50834	0.526166	5.1822800	6.1921300	4.87580	6.27891	3.19207	2.3064700	9.3540600	6.84016	10.6987	3.19207	32.815900	3.80000	4.64000	2.48000	1.1358600	1.16000	2.76000	-0.880000	0.486867	sync	none	no	none	1,2
SPT-SJ023152-5046.3	37.968979	-50.772984	5.8171600	12.245300	11.9027	13.9565	9.75557	10.177000	12.447300	12.0894	13.3964	10.8758	1.8264200	7.5380200	7.42170	10.9692	5.18119	0.034321400	0.0400000	0.520000	-0.400000	-1.3809300	-1.36000	-0.240000	-2.44000	0.00408391	sync	1	no	0.0805990	1
SPT-SJ023209-5939.1	38.039928	-59.652924	5.5572900	10.650700	7.94808	9.94509	5.63156	1.2453600	1.4097100	2.51623	3.23515	1.87719	0.22176700	0.85678900	2.11683	4.35347	1.07838	-4.2434000	-2.60000	-1.96000	-2.92000	-1.3710400	-0.480000	1.68000	-2.24000	0.217154	sync	1	no	none	1,2
SPT-SJ023214-5127.3	38.060604	-51.455967	4.6349200	9.6605400	8.94808	11.0492	6.84691	4.6747700	5.6329500	4.52838	5.83255	3.29666	0.0000000	-0.15966300	2.93439	5.10801	1.84758	-1.1318900	-1.56000	-0.720000	-2.36000	-42.799000	-1.32000	0.360000	-2.52000	0.0676331	sync	1,3,5	no	none	1,2
SPT-SJ023246-5356.5	38.193890	-53.943199	16.973700	35.555300	35.3331	37.4664	33.1998	21.399800	25.731100	25.4665	26.7998	24.3998	4.2960000	16.896200	16.1332	20.1332	12.1332	-0.67859100	-0.720000	-0.560000	-0.920000	-1.1581000	-1.32000	-0.640000	-2.08000	1.75707e-07	sync	1	no	none	1,2
SPT-SJ023308-5603.9	38.286598	-56.065548	2.8938800	5.7680300	4.92319	7.00087	2.75518	6.3121700	7.6252600	7.09120	8.35587	5.82653	2.9043300	12.044500	10.1625	14.2276	6.00719	0.58572800	0.840000	2.12000	-0.0800000	1.2586900	1.08000	2.20000	-0.480000	0.452082	sync	1	no	none	1,2
SPT-SJ023341-6357.1	38.421558	-63.953045	0.43573000	0.78543700	1.13562	2.29267	0.578525	5.3614200	5.7138300	4.52107	5.80668	2.80692	0.43675800	1.5812300	2.89263	4.99246	1.69272	4.1640100	2.92000	4.32000	1.24000	-3.5372300	-1.08000	0.720000	-2.44000	0.106007	sync	none	no	none	1,2
SPT-SJ023346-4418.8	38.441864	-44.314610	13.964600	29.686800	29.5013	31.7278	27.2747	17.994600	22.739100	22.5991	23.9350	21.2632	3.5783600	15.952700	15.0289	19.4820	10.7986	-0.55945900	-0.600000	-0.400000	-0.800000	-0.97596400	-1.16000	-0.400000	-2.08000	3.88885e-05	sync	1	no	none	1,2
SPT-SJ023356-5030.2	38.485668	-50.504143	16.042600	33.948800	33.7366	36.0282	31.6997	18.753400	22.949100	22.7881	24.0612	21.5151	5.1048100	20.873000	19.9874	24.3158	15.6589	-0.82166700	-0.880000	-0.680000	-1.08000	-0.26108500	-0.360000	0.200000	-1.08000	0.000800467	sync	1,3,5	no	none	1,2
